DATE,COUNTRY_CODE,CAMPAIGN_ID,TOTAL_SPEND_EUR,NB_OF_SESSIONS,NB_OF_SIGNUPS,NB_OF_ORDERS,NB_OF_POSLITE_ITEMS_ORDERED,NB_POSLITE_ITEMS_DISPATCHED,
2022-03-31,IE,16792023515,140.2646574,17,1,0,0,0,
2022-02-07,IE,16792023515,344.1524166,28,4,1,0,0,
2022-02-20,CH,391292795,68.80599448,12,1,0,0,0,
2022-03-11,CH,391292795,21.9830944,3,0,0,0,0,
2022-05-26,GB,120207888497020698,1160.560468,116,12,1,0,0,
2022-02-11,IE,20705306061,255.1678269,54,3,0,0,0,
2022-04-30,GB,21198365745,379.602877,34,4,0,0,0,
2022-04-16,IE,21182413864,44.415101,10,0,0,0,0,
2022-03-02,IE,12250462467,359.6970762,22,4,1,0,0,
2022-04-04,IE,12250462467,686.0271874,151,7,0,0,0,
2022-01-14,IE,12250462467,201.7943932,10,2,0,0,0,
2022-01-15,IE,12250462467,553.9636729,116,6,0,0,0,
2022-01-10,IE,12250462467,448.240528,81,5,0,0,0,
2022-01-16,IE,12250462467,316.8186479,10,3,1,0,0,
2022-04-07,IE,12250462467,204.9213442,57,2,0,0,0,
2022-01-25,IE,12250462467,348.3871564,14,4,1,0,0,
2022-04-15,GB,21082539491,1195.576865,347,12,0,0,0,
2022-03-20,GB,21082539491,1222.157501,318,12,0,0,0,
2022-02-01,GB,15846715387,72.0027962,17,1,0,0,0,
2022-05-01,GB,15846715387,79.0765642,5,1,0,0,0,
2022-01-20,GB,15846715387,2.9519378,1,0,0,0,0,
2022-01-03,GB,15846715387,23.4930718,1,0,0,0,0,
2022-02-13,GB,15846715387,78.695669,4,1,0,0,0,
2022-04-26,GB,15846715387,179.1295712,54,2,0,0,0,
2022-03-11,GB,15846715387,39.3682396,8,0,0,0,0,
2022-03-22,GB,15846715387,44.3878942,11,0,0,0,0,
2022-01-15,GB,15846715387,82.164536,12,1,0,0,0,
2022-03-15,GB,20475519552,178.476608,30,2,0,0,0,
2022-05-11,GB,20475519552,292.1071672,38,3,0,0,0,
2022-03-28,GB,20475519552,185.0229232,28,2,0,0,0,
2022-05-18,IE,391281264,16.2152528,3,0,0,0,0,
2022-04-06,GB,120204410141090698,27.5604884,5,0,0,0,0,
2022-03-30,GB,120204410141090698,15.1133774,0,0,0,0,0,
2022-03-25,GB,18461205812,728.9299671,211,7,0,0,0,
2022-02-26,GB,18461205812,1351.679481,230,14,1,0,0,
2022-02-28,GB,18461205812,1573.742789,299,16,1,0,0,
2022-02-09,GB,18461205812,1096.180685,307,11,0,0,0,
2022-03-17,GB,18461205812,1817.405892,91,18,4,1,0,
2022-05-21,IE,120211151098440066,547.2239732,71,5,0,0,0,
2022-01-10,GB,20703348185,2.04051,0,0,0,0,0,
2022-02-06,GB,20703348185,76.6415556,10,1,0,0,0,
2022-01-18,GB,20703348185,5.5637906,2,0,0,0,0,
2022-02-04,GB,20703348185,14.5964482,2,0,0,0,0,
2022-05-18,GB,20703348185,4.8428104,1,0,0,0,0,
2022-04-06,GB,20703348185,0,0,0,0,0,0,
2022-05-06,GB,20703348185,31.899973,0,0,0,0,0,
2022-04-22,GB,20703348185,46.6324552,7,1,0,0,0,
2022-03-15,ES,19678441368,4.6659662,1,0,0,0,0,
2022-04-22,ES,19678441368,3.9857962,1,0,0,0,0,
2022-04-10,ES,19678441368,6.1351334,0,0,0,0,0,
2022-03-26,GB,16335200574,1062.724815,266,11,0,0,0,
2022-05-11,GB,16335200574,1013.711765,71,10,1,0,0,
2022-04-06,GB,16335200574,906.938678,45,9,2,0,0,
2022-04-21,GB,16335200574,644.2978342,174,6,0,0,0,
2022-04-11,GB,16335200574,913.4955168,82,9,1,0,0,
2022-03-23,GB,16335200574,326.9849258,78,3,0,0,0,
2022-01-16,GB,20924620040,473.7248016,5,5,5,5,0,
2022-01-13,GB,20924620040,445.9466588,76,4,0,0,0,
2022-02-21,GB,20924620040,97.26431,24,1,0,0,0,
2022-01-19,GB,20924620040,538.3409516,151,5,0,0,0,
2022-05-26,ES,21250282073,346.4649946,90,3,0,0,0,
2022-03-16,CH,16820221869,75.8117482,16,1,0,0,0,
2022-02-03,CH,16820221869,55.9235774,12,1,0,0,0,
2022-03-07,CH,16820221869,56.1004216,14,1,0,0,0,
2022-05-15,IE,21018817119,30.66966518,6,0,0,0,0,
2022-03-07,IE,21018817119,8.536673555,0,0,0,0,0,
2022-03-09,IE,21018817119,4.253900169,1,0,0,0,0,
2022-01-29,GB,16335307917,281.1278644,51,3,0,0,0,
2022-05-03,ES,17558850680,46.727679,5,0,0,0,0,
2022-05-14,ES,17558850680,34.9335312,2,0,0,0,0,
2022-02-08,ES,17558850680,57.61021535,1,1,1,1,0,
2022-02-03,ES,17558850680,41.2999224,1,0,0,0,0,
2022-05-11,GB,20694141337,95.563885,12,1,0,0,0,
2022-03-27,GB,20694141337,173.4297466,45,2,0,0,0,
2022-03-18,ES,17558850680,94.60340334,5,1,0,0,0,
2022-01-29,GB,23857036571440697,277.2236886,72,3,0,0,0,
2022-04-07,ES,19735056861,6.073646032,1,0,0,0,0,
2022-03-09,ES,19735056861,4.524565659,1,0,0,0,0,
2022-03-29,ES,19735056861,5.5229804,1,0,0,0,0,
2022-04-29,ES,19735056861,14.89379404,2,0,0,0,0,
2022-03-04,ES,19735056861,11.2636152,1,0,0,0,0,
2022-03-09,CH,16736661269,143.929763,27,1,0,0,0,
2022-02-01,CH,16736661269,296.1185024,18,3,1,0,0,
2022-02-26,CH,16736661269,305.838601,64,3,0,0,0,
2022-04-10,CH,16736661269,247.1969963,20,3,0,0,0,
2022-03-17,CH,16736661269,159.9583458,11,2,0,0,0,
2022-05-05,CH,16736661269,279.3761355,45,3,0,0,0,
2022-05-04,GB,6476940146,1137.656005,46,12,3,1,1,
2022-05-03,GB,6476940146,1284.190537,231,13,1,0,0,
2022-03-01,GB,6476940146,2438.416257,536,24,1,0,0,
2022-02-12,GB,6476940146,1901.857366,399,19,1,0,0,
2022-04-30,GB,6476940146,1154.252844,35,12,4,1,0,
2022-03-19,GB,6476940146,1224.749888,24,12,6,3,0,
2022-05-18,GB,6476940146,3704.455893,445,37,3,0,0,
2022-03-02,GB,6476940146,2517.798993,629,25,1,0,0,
2022-05-23,GB,6476940146,3098.855423,806,31,1,0,0,
2022-03-08,GB,6476940146,1182.412956,154,12,1,0,0,
2022-05-19,GB,20774689177,260.5187134,26,3,0,0,0,
2022-03-06,GB,20774689177,338.0580934,24,3,0,0,0,
2022-03-22,GB,20774689177,350.8724962,7,4,2,1,0,
2022-03-08,GB,20774689177,356.9260092,61,4,0,0,0,
2022-05-29,GB,20774689177,78.491618,9,1,0,0,0,
2022-05-12,GB,120207885312850698,1161.022983,302,12,0,0,0,
2022-02-24,GB,20774689177,2.0677168,1,0,0,0,0,
2022-04-13,CH,13125904745,217.6407966,11,2,0,0,0,
2022-01-27,CH,13125904745,282.6242384,57,3,0,0,0,
2022-04-13,CH,21151146713,280.9418488,14,3,1,0,0,
2022-04-03,CH,21151146713,21.46835671,3,0,0,0,0,
2022-04-19,CH,21151146713,93.05324694,8,1,0,0,0,
2022-05-16,CH,21151146713,74.85722891,3,1,0,0,0,
2022-05-15,ES,21250221815,212.7409567,32,2,0,0,0,
2022-05-14,ES,21250221815,207.2069888,2,2,2,2,0,
2022-02-16,GB,120203990006170698,133.3269248,35,1,0,0,0,
2022-03-13,GB,120203990006170698,669.8314146,188,7,0,0,0,
2022-05-13,GB,120207743682210698,1408.332794,42,14,5,2,0,
2022-05-16,GB,120207743682210698,1400.606064,28,14,7,4,0,
2022-05-24,GB,391180926,212.1994366,64,2,0,0,0,
2022-03-27,GB,391180926,243.8817552,17,2,0,1,0,
2022-01-31,GB,391180926,141.3121192,20,1,0,0,0,
2022-05-02,GB,391180926,116.662757,34,1,0,0,0,
2022-05-05,GB,391180926,148.0866124,12,2,0,0,0,
2022-05-13,ES,21250282073,178.748676,30,2,0,0,0,1
2022-05-14,ES,21250282073,187.998988,34,2,0,0,0,
2022-05-31,ES,21250282073,166.6552534,5,2,1,0,0,
2022-05-28,CH,16820221869,58.3721894,11,1,0,0,0,
2022-03-30,CH,16820221869,27.3700408,6,0,0,0,0,
2022-03-18,CH,16820221869,64.6433568,4,1,1,0,0,
2022-05-04,CH,16820221869,21.9830944,6,0,0,0,0,
2022-03-13,IE,21018817119,7.863560999,2,0,0,1,0,
2022-02-20,IE,21018817119,171.6985317,38,2,0,0,0,
2022-03-15,IE,21018817119,0.476119,0,0,0,0,0,
2022-05-06,IE,21018817119,8.321134484,2,0,0,0,0,
2022-04-27,IE,21018817119,2.061864617,1,0,0,0,0,
2022-04-01,IE,21018817119,22.87564476,3,0,0,0,0,
2022-04-03,IE,16792023515,319.1493674,35,3,0,0,0,
2022-05-05,IE,16792023515,95.6591088,9,1,0,0,0,
2022-02-10,IE,16792023515,364.6527404,66,4,0,0,0,
2022-03-27,IE,16792023515,336.3168582,30,3,0,0,0,
2022-02-19,CH,391292795,55.24340604,4,1,0,0,0,
2022-02-21,CH,391292795,72.6965696,20,1,0,0,0,
2022-05-12,CH,391292795,0,0,0,0,0,0,
2022-05-22,GB,21198365745,209.9276688,29,2,0,0,0,
2022-05-10,GB,21198365745,292.1602218,56,3,0,0,0,
2022-05-13,GB,21198365745,453.9318546,109,5,0,0,0,
2022-05-01,IE,21182413864,0,0,0,0,0,0,
2022-02-22,GB,21005578238,0,0,0,0,0,0,
2022-03-25,GB,21005578238,2.2581644,1,0,0,0,0,
2022-03-29,ES,17300002700,12.31119535,2,0,0,0,0,
2022-01-18,ES,17300002700,6.529632,1,0,0,0,0,
2022-01-16,ES,17300002700,3.9585894,0,0,0,0,0,
2022-03-07,ES,17300002700,48.10901449,11,1,0,0,0,
2022-04-16,ES,17300002700,24.31812753,3,0,0,0,0,
2022-01-19,ES,17300002700,6.9649408,1,0,0,0,0,
2022-02-21,ES,17300002700,8.3388842,2,0,0,0,0,
2022-01-06,IE,20705306061,346.9720287,45,3,0,0,0,
2022-01-26,IE,20705306061,188.5120117,32,2,0,0,0,
2022-01-23,GB,16335307917,156.711168,25,2,0,0,0,
2022-03-21,GB,20475519552,187.6180928,49,2,0,0,0,
2022-03-23,GB,20475519552,207.8185895,50,2,0,0,0,
2022-04-17,GB,20475519552,278.2108248,64,3,0,0,0,
2022-03-15,IE,391281264,24.1324316,0,0,0,0,0,
2022-03-11,IE,391281264,17.616403,2,0,0,0,0,
2022-03-17,IE,391281264,0.1768442,0,0,0,0,0,
2022-05-26,GB,18461205812,1191.770609,286,12,1,0,0,
2022-05-09,GB,18461205812,1541.742977,216,15,1,0,0,
2022-01-26,GB,18461205812,1012.677906,41,10,3,1,0,
2022-04-28,GB,18461205812,668.1037842,120,7,0,0,0,
2022-01-25,GB,18461205812,1168.273595,47,12,3,1,0,
2022-04-20,GB,21082539491,1326.594052,226,13,1,0,0,
2022-04-19,GB,21082539491,1334.81028,400,13,0,0,0,
2022-05-02,GB,21082539491,1217.918733,329,12,0,0,0,
2022-04-25,GB,15846715387,148.1546294,9,2,0,0,0,
2022-04-05,GB,15846715387,65.1738894,13,1,0,0,0,
2022-05-26,GB,15846715387,2.8703174,0,0,0,0,0,
2022-03-06,GB,15846715387,0,0,0,0,0,0,
2022-02-21,GB,15846715387,9.1006746,0,0,0,0,0,
2022-01-01,GB,15846715387,35.2872196,5,0,0,0,0,
2022-02-03,GB,15846715387,46.2243532,14,0,0,0,0,
2022-01-07,GB,15846715387,51.8425574,13,1,0,0,0,
2022-02-22,GB,15846715387,57.13428,17,1,0,0,0,
2022-04-20,IE,12250462467,224.7776218,63,2,0,0,0,
2022-02-02,IE,12250462467,247.8880776,25,3,0,0,0,
2022-04-15,IE,12250462467,658.0739987,72,7,1,0,0,
2022-03-14,IE,12250462467,511.3709011,66,5,0,0,0,
2022-05-18,IE,12250462467,303.934778,73,3,0,0,0,
2022-01-26,GB,20703348185,7.617904,1,0,0,0,0,
2022-02-06,ES,19678441368,3.1831956,1,0,0,0,0,
2022-01-29,ES,19678441368,3.4552636,0,0,0,0,0,
2022-02-07,ES,19678441368,2.448612,1,0,0,0,0,
2022-03-20,ES,19678441368,5.8902722,0,0,0,0,0,
2022-03-02,ES,19678441368,0,0,0,0,0,0,
2022-04-16,GB,16335200574,1056.548871,275,11,0,0,0,
2022-01-28,GB,16335200574,1017.180632,81,10,1,0,0,
2022-04-23,GB,16335200574,1144.277198,286,11,0,0,0,
2022-01-12,ES,20499484310,197.0630586,37,2,0,0,0,
2022-05-25,ES,20499484310,45.47406311,4,0,0,0,0,
2022-04-15,ES,20499484310,132.5502073,20,1,0,0,0,
2022-05-18,ES,20499484310,61.08848502,5,1,0,0,0,
2022-03-25,ES,20499484310,187.9109713,39,2,0,0,0,
2022-05-16,ES,20499484310,67.60864362,20,1,0,0,0,
2022-04-12,ES,20499484310,135.0147353,38,1,0,0,0,
2022-02-10,GB,20589784451,19.2216042,2,0,0,0,0,
2022-02-21,GB,20589784451,134.197541,30,1,0,0,0,
2022-03-18,GB,20589784451,111.207795,20,1,0,0,0,
2022-02-28,GB,20589784451,207.3294194,25,2,0,0,0,
2022-02-01,GB,20589784451,119.981988,31,1,0,0,0,
2022-02-17,GB,20589784451,38.9465342,7,0,0,0,0,
2022-05-05,GB,391019869,91.8501568,7,1,0,0,0,
2022-02-04,GB,391019869,309.2596956,49,3,0,0,0,
2022-03-07,GB,391019869,490.7834652,113,5,0,0,0,
2022-01-14,GB,391019869,141.4345484,40,1,0,0,0,
2022-02-13,GB,12598739708,144.574375,25,1,0,0,0,
2022-03-10,GB,12598739708,93.98766584,20,1,0,0,0,
2022-03-22,CH,391292794,37.8990724,10,0,0,0,0,
2022-02-05,CH,391292794,29.587395,7,0,0,0,0,
2022-03-23,CH,391292794,45.82985324,2,0,0,0,0,
2022-04-18,CH,391292794,24.1868452,5,0,0,0,0,
2022-02-18,CH,391292794,48.8498094,10,1,0,0,0,
2022-05-19,CH,21296853803,14.2291564,1,0,0,0,0,
2022-02-15,GB,20924620040,113.7108206,26,1,0,0,0,
2022-03-23,GB,20924620040,469.5077476,141,5,0,0,0,
2022-02-06,ES,17558850680,56.3452828,17,1,0,0,0,
2022-04-08,ES,17558850680,63.31066571,8,1,0,0,0,
2022-02-09,ES,17558850680,37.7086248,2,1,0,0,0,
2022-05-31,GB,20694141337,285.5761762,31,3,0,0,0,
2022-02-09,GB,20694141337,241.2018854,17,2,0,0,0,
2022-05-25,GB,20694141337,111.4662596,32,1,0,0,0,
2022-04-25,GB,21127704718,679.8692792,204,7,0,0,0,
2022-04-21,GB,21127704718,534.0334649,139,5,0,0,0,
2022-04-02,GB,21127704718,961.110045,231,10,0,0,0,
2022-05-10,GB,120207745680800698,102.3519816,2,1,1,1,0,
2022-05-28,GB,6476940146,2244.803368,539,22,1,0,0,
2022-04-17,GB,6476940146,1177.014704,141,12,1,0,0,
2022-04-11,GB,6476940146,1206.308184,229,12,1,0,0,
2022-03-14,GB,6476940146,1281.120552,269,13,1,0,0,
2022-04-12,GB,6476940146,1192.767439,131,12,1,0,0,
2022-01-30,GB,20774689177,38.1983472,9,0,0,0,0,
2022-04-05,GB,20774689177,206.9621276,56,2,0,0,0,
2022-02-08,GB,20774689177,36.3754916,4,0,0,0,0,
2022-02-14,GB,20774689177,11.290822,2,0,0,0,0,
2022-04-09,GB,20774689177,50.7134752,5,1,0,0,0,
2022-01-25,GB,20774689177,66.0309036,10,1,0,0,0,
2022-05-18,GB,120207885312850698,1118.879646,190,11,1,0,0,
2022-05-26,GB,20774689177,122.8659088,28,1,0,0,0,
2022-01-08,CH,13125904745,300.7167604,18,3,1,0,0,
2022-05-16,CH,13125904745,142.9581306,41,1,0,0,0,
2022-04-05,CH,13125904745,446.6268288,103,4,0,0,0,
2022-04-25,CH,13125904745,510.4811884,133,5,0,0,0,
2022-02-01,CH,13125904745,672.1712008,148,7,0,0,0,
2022-02-08,CH,13125904745,971.3099668,272,10,0,0,0,
2022-05-01,CH,21151146713,107.1564862,2,1,1,1,0,
2022-03-07,IE,16792023515,330.8210846,53,3,0,0,0,
2022-05-31,IE,16792023515,112.3776874,24,1,0,0,0,
2022-05-06,CH,391292795,59.4876682,6,1,0,0,0,
2022-03-12,CH,391292795,23.5474854,0,0,0,0,0,
2022-05-14,CH,391292795,1.7412352,0,0,0,0,0,
2022-03-20,CH,391292795,22.1599386,4,0,0,0,0,
2022-05-13,CH,391292795,14.1339326,3,0,0,0,0,
2022-04-01,CH,391292795,141.6386008,1,1,1,1,0,
2022-05-21,CH,391292795,21.3301312,2,0,0,0,0,
2022-04-23,CH,21209555471,137.2991162,11,1,0,0,0,
2022-03-29,GB,21005578238,1.768442,0,0,0,0,0,
2022-04-25,ES,17300002700,24.350086,3,0,0,0,0,
2022-03-17,ES,17300002700,10.20255,1,0,0,0,0,
2022-04-30,ES,17300002700,25.574392,5,0,0,0,0,
2022-02-22,ES,17300002700,9.3047256,1,0,0,0,0,
2022-04-27,GB,21198365745,287.0589468,17,3,1,0,0,
2022-05-05,GB,21198365745,202.8811076,57,2,0,0,0,
2022-05-14,ES,120211151482640066,333.9090578,57,3,0,0,0,
2022-05-16,GB,16335307917,168.3012648,44,2,0,0,0,
2022-01-01,GB,16335307917,48.4553108,12,0,0,0,0,
2022-01-05,IE,20705306061,72.78231727,6,1,0,0,0,
2022-05-02,ES,21250221815,86.11102518,13,1,0,0,0,
2022-02-15,GB,120203990006170698,132.7419772,31,1,0,0,0,
2022-05-06,GB,120203990006170698,203.044347,61,2,0,0,0,
2022-02-28,GB,120203990006170698,201.0310452,4,2,1,1,0,
2022-03-06,GB,120203990006170698,467.5216539,33,5,1,0,0,
2022-05-18,GB,120207743682210698,1428.071331,14,14,14,14,14,
2022-05-15,GB,120207743682210698,1361.278635,327,14,1,0,0,
2022-05-25,GB,120207743682210698,0,0,0,0,0,0,
2022-01-08,CH,16820221869,126.1164127,18,1,0,0,0,
2022-01-28,CH,16820221869,40.5109252,8,0,0,0,0,
2022-04-26,CH,16820221869,40.35782573,5,0,0,0,0,
2022-01-03,CH,16820221869,153.8408506,34,2,0,0,0,
2022-01-21,CH,16820221869,84.36531854,7,1,0,0,0,
2022-05-17,CH,16820221869,74.206547,11,1,0,0,0,
2022-05-12,IE,21018817119,39.02753973,4,0,0,0,0,
2022-03-11,IE,21018817119,7.766325256,1,0,0,0,0,
2022-05-14,IE,21018817119,39.07750637,6,0,0,0,0,
2022-04-13,IE,21018817119,11.71775927,2,0,0,0,0,
2022-03-23,IE,21018817119,19.02028748,1,0,0,0,0,
2022-04-27,GB,20475519552,219.204068,46,2,0,0,0,
2022-03-09,GB,20475519552,205.6168847,47,2,0,0,0,
2022-03-28,IE,391281264,19.2760178,1,0,0,0,0,
2022-03-16,IE,391281264,5.169292,1,0,0,0,0,
2022-05-31,IE,391281264,42.510625,3,0,0,0,0,
2022-04-02,IE,391281264,22.581644,0,0,0,0,0,
2022-04-03,IE,391281264,56.8486086,3,1,0,0,0,
2022-02-20,IE,391281264,33.4915708,1,1,1,1,0,
2022-04-02,GB,120204410141090698,58.00489896,12,1,0,0,0,
2022-05-08,,18461205812,1433.508779,244,14,1,0,0,
2022-04-17,GB,18461205812,629.3799921,189,6,0,0,0,
2022-04-10,GB,18461205812,541.347303,81,5,0,0,0,
2022-03-26,GB,18461205812,851.7627054,94,9,1,0,0,
2022-01-31,GB,18461205812,1937.781097,291,19,1,0,0,
2022-05-17,GB,18461205812,2131.262678,21,21,21,21,2,
2022-04-29,GB,18461205812,648.9540998,26,7,2,1,0,
2022-03-31,GB,120204410141090698,23.3706412,1,0,0,0,0,
2022-05-14,IE,12250462467,577.4671595,87,6,0,0,0,
2022-03-16,IE,12250462467,317.0002315,16,3,1,0,0,
2022-04-18,IE,12250462467,408.302778,8,4,2,1,0,
2022-01-05,GB,20703348185,19.0311566,6,0,0,0,0,
2022-05-14,GB,20703348185,24.554137,4,0,0,0,0,
2022-04-18,,,22.4184032,6,0,0,0,0,
2022-05-08,GB,20703348185,26.050511,6,0,0,0,0,
2022-05-07,ES,19678441368,5.1420852,1,0,0,0,0,
2022-05-30,ES,19678441368,2.337193352,1,0,0,0,0,
2022-02-28,ES,19678441368,1.6188046,0,0,0,0,0,
2022-05-23,GB,16335200574,1055.460599,296,11,0,0,0,
2022-04-24,GB,16335200574,1579.504377,300,16,1,0,0,
2022-01-14,GB,16335200574,667.3964074,147,7,0,0,0,
2022-04-28,GB,16335200574,1334.262282,334,13,1,0,0,
2022-03-28,ES,20499484310,197.4660539,18,2,0,0,0,
2022-05-14,ES,20499484310,43.10143018,9,0,0,0,0,
2022-04-07,ES,20499484310,159.6524353,30,2,0,0,0,
2022-03-12,ES,20499484310,223.2174968,4,2,1,1,1,
2022-05-30,IE,12201978151,114.4998178,11,1,0,0,0,
2022-02-28,IE,12201978151,106.8411036,1,1,1,1,0,
2022-03-18,IE,12201978151,121.779208,35,1,0,0,0,
2022-05-27,IE,12201978151,109.4121462,8,1,0,0,0,
2022-04-20,IE,12201978151,43.9797922,8,0,0,0,0,
2022-04-07,IE,12201978151,50.18579931,3,1,0,0,0,
2022-04-06,IE,12201978151,40.4157014,10,0,0,0,0,
2022-01-21,IE,12201978151,49.3259284,4,0,0,0,0,
2022-01-23,IE,12201978151,88.14555376,14,1,0,0,0,
2022-02-19,GB,20589784451,131.5720848,26,1,0,0,0,
2022-05-15,GB,20589784451,7.413853,0,0,0,0,0,
2022-04-05,GB,20589784451,48.6185516,9,1,0,0,0,
2022-01-24,GB,20589784451,51.284818,13,1,0,0,0,
2022-01-27,GB,20589784451,106.1473302,20,1,0,0,0,
2022-03-25,GB,20589784451,42.0617128,3,0,0,0,0,
2022-01-21,GB,20589784451,135.4354504,1,1,1,1,0,
2022-04-03,GB,391019869,1119.042888,101,11,1,0,0,
2022-04-13,GB,391019869,222.7828818,29,2,0,0,0,
2022-04-17,GB,391019869,844.8663638,220,8,0,0,0,
2022-05-31,GB,391019869,699.3916042,196,7,0,0,0,
2022-03-16,GB,391019869,450.0140754,68,5,0,0,0,
2022-04-28,GB,21082539491,1244.943109,361,12,0,0,0,
2022-04-13,GB,21082539491,1137.585959,205,11,1,0,0,
2022-03-02,GB,15846715387,13.467366,0,0,0,0,0,
2022-01-27,GB,15846715387,78.2739636,10,1,0,0,0,
2022-03-08,GB,15846715387,25.9552872,7,0,0,0,0,
