DATE,CURRENCY,COUNTRY_CODE,CAMPAIGN_ID,CAMPAIGN_NAME,PRODUCT,CHANNEL_3,CHANNEL_4,CHANNEL_5,TOTAL_IMPRESSIONS,TOTAL_CLICKS,TOTAL_SPEND,TOTAL_LEADS,TOTAL_FAKE_LEADS,TOTAL_SQLS,TOTAL_MEETING_DONE,TOTAL_SIGNED_LEADS,TOTAL_POS_LITE_DEALS
2022-05-20,EUR,IE,120211150770050066,fb_ie_landing_prospecting_pos-lite_pos-lite_bau_alwayson_selfserve_convgoaltest-purchasecr,pos-lite,fb,fb prospecting,fb prospecting landing,2335,5,11,2,2,9,9,7,2
2022-01-02,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,unknown,fb,fb prospecting,fb prospecting generic,2696,8,15,1,1,5,4,2,3
2022-05-13,EUR,IE,120211151098440066,fb_ie_landing_prospecting_pos-lite_poslite-cr_bau_alwayson,poslite-cr,fb,fb prospecting,fb prospecting landing,50326,78,292,10,9,10,9,2,3
2022-03-25,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,unknown,fb,fb prospecting,fb prospecting generic,4113,15,28,9,8,5,5,6,6
2022-03-11,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,unknown,fb,fb prospecting,fb prospecting generic,0,0,0,14,12,8,7,9,1
2022-03-31,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,unknown,fb,fb prospecting,fb prospecting generic,42,0,1,5,4,3,3,1,5
2022-03-10,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,unknown,fb,fb prospecting,fb prospecting generic,22,0,0,0,0,0,0,6,4
2022-02-25,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,unknown,fb,fb prospecting,fb prospecting generic,9,0,0,6,5,8,7,8,5
2022-01-22,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,unknown,fb,fb prospecting,fb prospecting generic,3918,8,24,5,4,6,5,7,4
2022-01-15,EUR,GB,10667942084213588284,unknown,pos lite,,,,,,,14,12,10,9,2,3
2022-03-01,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,pos,fb,fb prospecting,fb prospecting generic,,,,10,8,3,3,3,1
2022-02-21,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,unknown,fb,fb prospecting,fb prospecting generic,3,0,0,1,1,1,1,2,5
2022-02-23,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,unknown,fb,fb prospecting,fb prospecting generic,1258,8,15,2,1,8,7,5,2
2022-02-04,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,unknown,fb,fb prospecting,fb prospecting generic,0,0,0,12,10,0,0,9,1
2022-03-13,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,unknown,fb,fb prospecting,fb prospecting generic,2,0,0,14,12,10,9,3,3
2022-02-11,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,unknown,fb,fb prospecting,fb prospecting generic,420,0,7,1,1,6,6,5,5
2022-05-12,EUR,CH,120211150682290066,fb_ch_landing_prospecting_pos-lite_poslite-cr_bau_alwayson,poslite-cr,fb,fb prospecting,fb prospecting landing,2034,6,34,5,4,11,10,9,3
2022-05-10,EUR,CH,120211150575530066,fb_ch_landing_prospecting_pos-lite_pos-lite_bau_alwayson_selfserve_convgoaltest-purchasecr,pos-lite,fb,fb prospecting,fb prospecting landing,3510,8,34,4,3,10,9,4,3
2022-05-24,EUR,ES,120211151482640066,fb_es_landing_prospecting_pos-lite_poslite-cr_bau_alwayson,poslite-cr,fb,fb prospecting,fb prospecting landing,2500,2,11,6,5,6,5,6,4
2022-05-17,EUR,GB,120207888497020698,fb_gb_landing_prospecting_pos-lite_poslite-cr_bau_alwayson,poslite-cr,fb,fb prospecting,fb prospecting landing,25266,39,164,3,2,11,10,4,6
2022-01-07,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,unknown,fb,fb prospecting,fb prospecting generic,69,1,0,11,10,0,0,1,1
2022-03-14,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,pos,fb,fb prospecting,fb prospecting generic,,,,2,2,6,5,6,4
2022-03-06,EUR,GB,11348193304807181773,unknown,pos lite,,,,,,,2,2,0,0,6,3
2022-02-28,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,pos,fb,fb prospecting,fb prospecting generic,,,,12,11,10,9,7,5
2022-05-23,EUR,GB,120207888497020698,fb_gb_landing_prospecting_pos-lite_poslite-cr_bau_alwayson,poslite-cr,fb,fb prospecting,fb prospecting landing,21435,29,102,5,4,7,7,7,2
2022-02-02,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,unknown,fb,fb prospecting,fb prospecting generic,1953,15,19,1,1,10,9,5,5
2022-03-19,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,unknown,fb,fb prospecting,fb prospecting generic,24,0,0,14,12,11,10,0,6
2022-03-05,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,unknown,fb,fb prospecting,fb prospecting generic,1035,12,14,0,0,10,9,2,6
2022-03-30,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,unknown,fb,fb prospecting,fb prospecting generic,15,0,0,12,11,7,7,2,5
2022-02-11,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,unknown,fb,fb prospecting,fb prospecting generic,873,11,7,9,7,10,9,6,2
2022-05-07,EUR,IE,120211151098440066,fb_ie_landing_prospecting_pos-lite_poslite-cr_bau_alwayson,poslite-cr,fb,fb prospecting,fb prospecting landing,2907,6,14,5,4,11,10,1,5
2022-05-18,EUR,GB,120207888497020698,fb_gb_landing_prospecting_pos-lite_poslite-cr_bau_alwayson,poslite-cr,fb,fb prospecting,fb prospecting landing,7890,18,78,6,5,2,2,5,4
2022-01-08,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,unknown,fb,fb prospecting,fb prospecting generic,7836,28,48,8,7,9,9,3,6
2022-05-19,EUR,IE,614070496,bing-shopping_ie_generic_prospecting_pos-lite_poslite-cr_bau_alwayson,poslite-cr,bing-shopping,bing-shopping prospecting,bing-shopping prospecting generic,0,0,0,0,0,11,10,1,0
2022-01-01,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,unknown,fb,fb prospecting,fb prospecting generic,16500,128,43,7,6,10,9,4,6
2022-02-05,EUR,GB,9276635412071284192,unknown,pos lite,,,,,,,4,4,2,2,7,1
2022-01-25,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,pos,fb,fb prospecting,fb prospecting generic,,,,4,3,6,5,1,6
2022-03-28,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,pos,fb,fb prospecting,fb prospecting generic,,,,12,10,10,9,9,0
2022-05-25,EUR,GB,120207885312850698,fb_gb_landing_prospecting_pos-lite_pos-lite_bau_alwayson_selfserve_convgoaltest-purchasecr,pos-lite,fb,fb prospecting,fb prospecting landing,31844,84,127,0,0,7,7,2,6
2022-03-27,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,unknown,fb,fb prospecting,fb prospecting generic,0,0,0,7,6,7,7,0,0
2022-05-16,EUR,GB,120207888497020698,fb_gb_landing_prospecting_pos-lite_poslite-cr_bau_alwayson,poslite-cr,fb,fb prospecting,fb prospecting landing,39076,72,240,0,0,6,6,0,7
2022-03-20,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,unknown,fb,fb prospecting,fb prospecting generic,9498,66,65,5,4,2,2,5,5
2022-05-13,EUR,IE,120211150770050066,fb_ie_landing_prospecting_pos-lite_pos-lite_bau_alwayson_selfserve_convgoaltest-purchasecr,pos-lite,fb,fb prospecting,fb prospecting landing,3869,5,16,3,3,9,8,8,2
2022-05-18,EUR,IE,120211150770050066,fb_ie_landing_prospecting_pos-lite_pos-lite_bau_alwayson_selfserve_convgoaltest-purchasecr,pos-lite,fb,fb prospecting,fb prospecting landing,7695,9,37,13,11,0,0,1,5
2022-01-06,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,unknown,fb,fb prospecting,fb prospecting generic,2752,10,15,7,6,4,4,7,4
2022-05-17,EUR,CH,120211150575530066,fb_ch_landing_prospecting_pos-lite_pos-lite_bau_alwayson_selfserve_convgoaltest-purchasecr,pos-lite,fb,fb prospecting,fb prospecting landing,5092,106,49,2,2,3,3,6,3
2022-01-02,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,unknown,fb,fb prospecting,fb prospecting generic,68,2,0,3,3,0,0,5,2
2022-01-29,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,unknown,fb,fb prospecting,fb prospecting generic,1397,6,17,5,5,11,10,6,1
2022-01-21,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,unknown,fb,fb prospecting,fb prospecting generic,36,0,0,5,5,1,1,3,7
2022-03-20,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,unknown,fb,fb prospecting,fb prospecting generic,0,0,0,13,11,7,6,8,0
2022-04-01,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,unknown,fb,fb prospecting,fb prospecting generic,7,0,0,1,0,4,4,1,1
2022-05-27,EUR,CH,120211150682290066,fb_ch_landing_prospecting_pos-lite_poslite-cr_bau_alwayson,poslite-cr,fb,fb prospecting,fb prospecting landing,12548,112,179,10,9,7,6,5,6
2022-05-27,EUR,GB,120207885312850698,fb_gb_landing_prospecting_pos-lite_pos-lite_bau_alwayson_selfserve_convgoaltest-purchasecr,pos-lite,fb,fb prospecting,fb prospecting landing,100572,144,381,1,0,2,1,5,7
2022-05-13,EUR,ES,120211151482640066,fb_es_landing_prospecting_pos-lite_poslite-cr_bau_alwayson,poslite-cr,fb,fb prospecting,fb prospecting landing,5091,24,37,11,10,9,8,3,6
2022-05-26,EUR,GB,120207888497020698,fb_gb_landing_prospecting_pos-lite_poslite-cr_bau_alwayson,poslite-cr,fb,fb prospecting,fb prospecting landing,32205,105,393,11,9,3,3,0,5
2022-05-29,EUR,GB,120207885312850698,fb_gb_landing_prospecting_pos-lite_pos-lite_bau_alwayson_selfserve_convgoaltest-purchasecr,pos-lite,fb,fb prospecting,fb prospecting landing,0,0,0,2,2,1,1,2,1
2022-01-03,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,unknown,fb,fb prospecting,fb prospecting generic,544,3,3,7,6,0,0,7,3
2022-02-28,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,pos,fb,fb prospecting,fb prospecting generic,,,,1,1,11,10,3,0
2022-05-30,EUR,CH,120211150682290066,fb_ch_landing_prospecting_pos-lite_poslite-cr_bau_alwayson,poslite-cr,fb,fb prospecting,fb prospecting landing,18244,156,272,3,2,5,4,6,7
2022-05-23,EUR,ES,120211151482640066,fb_es_landing_prospecting_pos-lite_poslite-cr_bau_alwayson,poslite-cr,fb,fb prospecting,fb prospecting landing,3743,7,18,11,9,10,9,4,3
2022-05-11,EUR,ES,120211151359520066,fb_es_landing_prospecting_pos-lite_pos-lite_bau_alwayson_selfserve_convgoaltest-purchasecr,pos-lite,fb,fb prospecting,fb prospecting landing,15020,32,72,3,3,11,10,1,7
2022-05-28,EUR,GB,120207888497020698,fb_gb_landing_prospecting_pos-lite_poslite-cr_bau_alwayson,poslite-cr,fb,fb prospecting,fb prospecting landing,58864,168,476,14,12,8,8,8,6
2022-01-05,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,unknown,fb,fb prospecting,fb prospecting generic,0,0,0,6,5,11,10,4,0
2022-02-06,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,pos,fb,fb prospecting,fb prospecting generic,,,,7,6,8,7,8,2
2022-02-28,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,unknown,fb,fb prospecting,fb prospecting generic,3142,26,23,4,3,10,10,5,4
2022-04-26,EUR,CH,614070523,bing-shopping_ch_generic_prospecting_pos-lite_poslite-cr_bau_alwayson,poslite-cr,bing-shopping,bing-shopping prospecting,bing-shopping prospecting generic,153,0,0,6,5,3,3,7,6
2022-05-19,EUR,GB,120207888497020698,fb_gb_landing_prospecting_pos-lite_poslite-cr_bau_alwayson,poslite-cr,fb,fb prospecting,fb prospecting landing,20271,27,97,5,4,4,4,3,4
2022-01-28,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,unknown,fb,fb prospecting,fb prospecting generic,30,0,1,4,4,3,2,0,5
2022-05-27,EUR,ES,120211151482640066,fb_es_landing_prospecting_pos-lite_poslite-cr_bau_alwayson,poslite-cr,fb,fb prospecting,fb prospecting landing,2192,4,26,6,5,0,0,5,4
2022-05-04,EUR,GB,11348193304807181773,unknown,pos lite,,,,,,,9,8,4,4,3,6
2022-04-24,EUR,GB,21182413861,search-shopping_gb_generic_prospecting_pos-lite_poslite-cr_bau_alwayson,poslite-cr,search-shopping,search-shopping prospecting,search-shopping prospecting generic,14919,42,121,5,4,1,1,9,5
2022-05-14,EUR,GB,120207885312850698,fb_gb_landing_prospecting_pos-lite_pos-lite_bau_alwayson_selfserve_convgoaltest-purchasecr,pos-lite,fb,fb prospecting,fb prospecting landing,16814,20,63,6,5,6,6,9,2
2022-05-25,EUR,IE,120211151098440066,fb_ie_landing_prospecting_pos-lite_poslite-cr_bau_alwayson,poslite-cr,fb,fb prospecting,,0,0,0,10,9,2,2,4,0
2022-01-12,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,unknown,fb,fb prospecting,fb prospecting generic,5716,24,47,11,10,2,1,8,7
2022-03-25,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,pos,fb,fb prospecting,fb prospecting generic,,,,6,5,9,8,4,3
2022-05-31,EUR,IE,21346419076,search_ie_brand_prospecting_pos-lite_poslite-cr_bau_alwayson,poslite-cr,search,search prospecting,search prospecting brand,3,0,0,5,5,10,9,0,5
2022-05-26,EUR,CH,120211150682290066,fb_ch_landing_prospecting_pos-lite_poslite-cr_bau_alwayson,poslite-cr,fb,fb prospecting,fb prospecting landing,6276,117,84,2,1,8,7,3,6
2022-05-10,EUR,CH,,fb_ch_landing_prospecting_pos-lite_poslite-cr_bau_alwayson,poslite-cr,fb,fb prospecting,fb prospecting landing,0,0,0,1,1,5,5,9,0
2022-02-20,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,unknown,fb,fb prospecting,fb prospecting generic,2774,20,17,4,3,9,8,0,4
2022-05-22,EUR,CH,120211150575530066,fb_ch_landing_prospecting_pos-lite_pos-lite_bau_alwayson_selfserve_convgoaltest-purchasecr,pos-lite,fb,fb prospecting,fb prospecting landing,0,0,0,0,0,7,7,2,1
2022-05-07,EUR,IE,120211150770050066,fb_ie_landing_prospecting_pos-lite_pos-lite_bau_alwayson_selfserve_convgoaltest-purchasecr,pos-lite,fb,fb prospecting,fb prospecting landing,2702,4,10,5,5,8,8,6,1
2022-05-08,EUR,IE,120211150770050066,fb_ie_landing_prospecting_pos-lite_pos-lite_bau_alwayson_selfserve_convgoaltest-purchasecr,pos-lite,fb,fb prospecting,fb prospecting landing,52248,,242,2,2,1,1,2,7
2022-05-24,EUR,GB,120207888497020698,fb_gb_landing_prospecting_pos-lite_poslite-cr_bau_alwayson,poslite-cr,fb,fb prospecting,fb prospecting landing,35850,18,85,10,8,2,1,6,5
2022-03-24,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,unknown,fb,fb prospecting,fb prospecting generic,52,0,1,7,6,1,1,2,7
2022-05-30,EUR,CH,120211150682290066,fb_ch_landing_prospecting_pos-lite_poslite-cr_bau_alwayson,poslite-cr,fb,fb prospecting,fb prospecting landing,2687,17,46,4,3,6,5,2,2
2022-03-03,EUR,GB,11348193304807181773,unknown,pos lite,,,,,,,3,2,3,2,1,6
2022-03-07,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,unknown,fb,fb prospecting,fb prospecting generic,0,0,0,9,,2,2,4,1
2022-05-19,EUR,IE,120211151098440066,fb_ie_landing_prospecting_pos-lite_poslite-cr_bau_alwayson,poslite-cr,fb,fb prospecting,fb prospecting landing,0,0,0,13,11,5,5,8,0
2022-05-21,EUR,GB,120207885312850698,fb_gb_landing_prospecting_pos-lite_pos-lite_bau_alwayson_selfserve_convgoaltest-purchasecr,pos-lite,fb,fb prospecting,fb prospecting landing,0,0,0,10,8,5,4,1,0
2022-05-18,EUR,GB,120207885312850698,fb_gb_landing_prospecting_pos-lite_pos-lite_bau_alwayson_selfserve_convgoaltest-purchasecr,pos-lite,fb,fb prospecting,fb prospecting landing,10295,32,48,3,3,3,3,6,2
2022-01-21,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,unknown,fb,fb prospecting,fb prospecting generic,1936,2,13,4,3,1,1,5,4
2022-01-10,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,unknown,fb,fb prospecting,fb prospecting generic,0,0,0,5,4,4,4,6,1
2022-02-15,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,pos,fb,fb prospecting,fb prospecting generic,,,,10,9,7,6,1,3
2022-03-12,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,unknown,fb,fb prospecting,fb prospecting generic,432,0,5,4,3,7,6,5,4
2022-03-02,EUR,ES,23861494371910168,fb_es_pos-lite_prospecting_landing_promo,unknown,fb,fb prospecting,fb prospecting generic,189,3,8,9,8,9,8,9,6
2022-05-19,EUR,CH,120211150682290066,fb_ch_landing_prospecting_pos-lite_poslite-cr_bau_alwayson,poslite-cr,fb,fb prospecting,fb prospecting landing,1908,84,18,0,0,5,5,3,3
